,Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K_9,BB_9,K_BB,H_9,HR_9,WHIP,BABIP,LOB_PCT,FIP
52,윤성환,Lions,25,3,0,1.0384623,36,0,0,0,0,0,8,43.1,170,24,6,5,2,17,0,1,2,0,43,8.979118329,3.549883991,2.529411765,5.011600928,0.417633411,1.160092807,0.205607477,0.918367347,2.991183295
53,최대성,Giants,22,3,2,2.668606131,41,0,0,0,0,2,7,57.1,229,39,17,17,0,26,2,5,4,0,53,8.353765324,4.098073555,2.038461538,6.147110333,0.0,0.805604203,0.268965517,0.757142857,2.709632224
54,이동현,Tigers,27,0,0,6.171410747,9,0,0,0,0,0,0,11.2,52,10,8,8,2,7,0,1,1,0,2,1.607142857,5.625,0.285714286,8.035714286,1.607142857,3.392857143,0.2,0.657894737,7.039285714
55,이상화,Tigers,26,1,3,6.889659704,27,5,0,0,0,0,0,48.1,231,55,39,37,8,28,2,4,2,0,23,4.303534304,5.239085239,0.821428571,10.29106029,1.496881497,1.58004158,0.279761905,0.633245383,6.152182952
56,정우람,Wyverns,22,0,1,4.280493082,45,0,0,0,0,1,14,27.1,126,25,13,13,5,21,0,0,2,0,22,7.306273063,6.974169742,1.047619048,8.302583026,1.660516605,2.398523985,0.256410256,0.846153846,6.299630996
57,김명제,Bears,20,4,7,5.048144347,30,22,0,0,1,0,0,117.2,526,133,70,66,11,40,1,12,6,0,63,4.837883959,3.071672355,1.575,10.21331058,0.844709898,1.38225256,0.305,0.678066038,4.36894198
58,금민철,Bears,20,1,4,3.966101695,53,5,0,0,0,1,6,59.0,257,57,30,26,2,29,0,5,2,0,43,6.559322034,4.423728814,1.482758621,8.694915254,0.305084746,1.305084746,0.308988764,0.691609977,3.657627119
59,조현근,Lions,21,1,2,3.109090909,46,1,0,0,0,0,1,55.0,226,49,20,19,5,20,0,1,1,1,48,7.854545455,3.272727273,2.4,8.018181818,0.818181818,1.0,0.289473684,0.793650794,3.727272727
60,이보근,Unicorns,21,0,1,11.7,9,0,0,0,0,0,0,10.0,52,15,13,13,1,6,1,1,0,0,9,8.1,5.4,1.5,13.5,0.9,2.5,0.4,0.436893204,4.5
61,조정훈,Giants,22,0,2,6.652173913,17,2,0,0,0,0,1,23.0,109,35,17,17,3,10,0,3,1,0,12,4.695652174,3.913043478,1.2,13.69565217,1.173913043,1.782608696,0.395061728,0.707762557,5.156521739
62,이재율,Giants,21,0,1,5.906231342,7,0,0,0,0,0,0,10.2,48,13,7,7,2,6,0,2,0,0,3,2.647058824,5.294117647,0.5,11.47058824,1.764705882,3.62745098,0.314285714,0.769230769,6.925490196
63,이범석,Tigers,21,0,3,4.640621542,27,2,0,0,0,0,1,42.2,193,39,22,22,3,24,0,8,8,0,24,5.118483412,5.118483412,1.0,8.317535545,0.639810427,1.706161137,0.268656716,0.733532934,4.692890995
64,양훈,Eagles,21,7,4,3.637307712,47,3,1,1,2,1,3,64.1,273,55,29,26,3,33,2,5,4,0,27,3.790951638,4.633385335,0.818181818,7.722308892,0.421216849,1.154446178,0.253658537,0.720720721,4.510452418
65,조성민,Eagles,34,1,2,4.186046512,12,8,0,0,0,0,0,43.0,191,41,23,20,3,19,2,5,0,0,18,3.76744186,3.976744186,0.947368421,8.581395349,0.627906977,1.209302326,0.260273973,0.690789474,4.595348837
66,정재훈,Bears,26,1,1,5.029411765,32,0,0,0,2,0,0,34.0,146,36,20,19,4,11,1,2,4,1,12,3.176470588,2.911764706,1.090909091,9.529411765,1.058823529,1.235294118,0.273504274,0.668202765,4.994117647
67,원용묵,Bears,21,0,0,1.588240016,16,0,0,0,0,0,0,11.1,48,10,3,2,0,6,0,1,2,0,8,6.486486486,4.864864865,1.333333333,8.108108108,0.0,2.252252252,0.303030303,0.823529412,3.38018018
68,김세현,Unicorns,19,1,0,3.475244243,20,2,0,0,0,1,0,33.2,143,30,13,13,3,15,0,1,0,0,18,4.879518072,4.06626506,1.2,8.13253012,0.813253012,3.162650602,0.254716981,0.789473684,4.645783133
